Using MPS device for macOS
Using device: mps
Episode 1/3000 | Total reward: 0.00 | Avg loss: 0.0000 | Epsilon: 0.995 | LOSE | MEMORY_SIZE: 1SEED: 597
Episode 2/3000 | Total reward: -1.00 | Avg loss: 0.0000 | Epsilon: 0.990 | LOSE | MEMORY_SIZE: 3SEED: 597
Episode 3/3000 | Total reward: 18.00 | Avg loss: 0.0000 | Epsilon: 0.985 | LOSE | MEMORY_SIZE: 6SEED: 597
Episode 4/3000 | Total reward: -1.00 | Avg loss: 0.0000 | Epsilon: 0.980 | LOSE | MEMORY_SIZE: 8SEED: 597
Episode 5/3000 | Total reward: 17.00 | Avg loss: 0.0000 | Epsilon: 0.975 | LOSE | MEMORY_SIZE: 12SEED: 597
Episode 6/3000 | Total reward: 18.00 | Avg loss: 0.0000 | Epsilon: 0.970 | LOSE | MEMORY_SIZE: 15SEED: 597
Episode 7/3000 | Total reward: -1.00 | Avg loss: 0.0000 | Epsilon: 0.966 | LOSE | MEMORY_SIZE: 17SEED: 597
Episode 8/3000 | Total reward: 7.00 | Avg loss: 0.0000 | Epsilon: 0.961 | LOSE | MEMORY_SIZE: 21SEED: 597
Episode 9/3000 | Total reward: 6.00 | Avg loss: 0.0000 | Epsilon: 0.956 | LOSE | MEMORY_SIZE: 26SEED: 597
Episode 10/3000 | Total reward: 0.00 | Avg loss: 0.0000 | Epsilon: 0.951 | LOSE | MEMORY_SIZE: 27SEED: 597
Episode 11/3000 | Total reward: -1.00 | Avg loss: 0.0000 | Epsilon: 0.946 | LOSE | MEMORY_SIZE: 29SEED: 597
Episode 12/3000 | Total reward: 9.00 | Avg loss: 0.0000 | Epsilon: 0.942 | LOSE | MEMORY_SIZE: 31SEED: 597
Episode 13/3000 | Total reward: 9.00 | Avg loss: 0.0000 | Epsilon: 0.937 | LOSE | MEMORY_SIZE: 33SEED: 597
Episode 14/3000 | Total reward: 0.00 | Avg loss: 0.0000 | Epsilon: 0.932 | LOSE | MEMORY_SIZE: 34SEED: 597
Episode 15/3000 | Total reward: 9.00 | Avg loss: 0.0000 | Epsilon: 0.928 | LOSE | MEMORY_SIZE: 36SEED: 597
Episode 16/3000 | Total reward: 18.00 | Avg loss: 0.0000 | Epsilon: 0.923 | LOSE | MEMORY_SIZE: 39SEED: 597
Episode 17/3000 | Total reward: 0.00 | Avg loss: 0.0000 | Epsilon: 0.918 | LOSE | MEMORY_SIZE: 40SEED: 597
Episode 18/3000 | Total reward: 0.00 | Avg loss: 0.0000 | Epsilon: 0.914 | LOSE | MEMORY_SIZE: 41SEED: 597
Episode 19/3000 | Total reward: 9.00 | Avg loss: 0.0000 | Epsilon: 0.909 | LOSE | MEMORY_SIZE: 43SEED: 597
Episode 20/3000 | Total reward: 0.00 | Avg loss: 0.0000 | Epsilon: 0.905 | LOSE | MEMORY_SIZE: 44SEED: 597
Episode 21/3000 | Total reward: 24.00 | Avg loss: 0.0000 | Epsilon: 0.900 | LOSE | MEMORY_SIZE: 51SEED: 597
Episode 22/3000 | Total reward: 0.00 | Avg loss: 0.0000 | Epsilon: 0.896 | LOSE | MEMORY_SIZE: 52SEED: 597
Episode 23/3000 | Total reward: 0.00 | Avg loss: 0.0000 | Epsilon: 0.891 | LOSE | MEMORY_SIZE: 53SEED: 597
Episode 24/3000 | Total reward: 0.00 | Avg loss: 0.0000 | Epsilon: 0.887 | LOSE | MEMORY_SIZE: 54SEED: 597
Episode 25/3000 | Total reward: -1.00 | Avg loss: 0.0000 | Epsilon: 0.882 | LOSE | MEMORY_SIZE: 56SEED: 597
