Using device: cpu
Episode 1/10000 | Total reward: 0.00 | Avg loss: 0.0000 | Loss std: 0.0000 | Max Q: 0.07 | Min Q: -0.05 | Mean Q: -0.01 | Epsilon: 0.995 | LOSE | Len: 1 | MEMORY_SIZE: 1SEED: 597
Episode 2/10000 | Total reward: -1.00 | Avg loss: 0.0000 | Loss std: 0.0000 | Max Q: 0.07 | Min Q: -0.05 | Mean Q: -0.01 | Epsilon: 0.990 | LOSE | Len: 2 | MEMORY_SIZE: 3SEED: 597
Episode 3/10000 | Total reward: 18.00 | Avg loss: 0.0000 | Loss std: 0.0000 | Max Q: 0.07 | Min Q: -0.05 | Mean Q: -0.01 | Epsilon: 0.985 | LOSE | Len: 3 | MEMORY_SIZE: 6SEED: 597
Episode 4/10000 | Total reward: -1.00 | Avg loss: 0.0000 | Loss std: 0.0000 | Max Q: 0.07 | Min Q: -0.05 | Mean Q: -0.01 | Epsilon: 0.980 | LOSE | Len: 2 | MEMORY_SIZE: 8SEED: 597
Episode 5/10000 | Total reward: 17.00 | Avg loss: 0.0000 | Loss std: 0.0000 | Max Q: 0.07 | Min Q: -0.05 | Mean Q: -0.01 | Epsilon: 0.975 | LOSE | Len: 4 | MEMORY_SIZE: 12SEED: 597
Episode 6/10000 | Total reward: 18.00 | Avg loss: 0.0000 | Loss std: 0.0000 | Max Q: 0.07 | Min Q: -0.05 | Mean Q: -0.01 | Epsilon: 0.970 | LOSE | Len: 3 | MEMORY_SIZE: 15SEED: 597
Episode 7/10000 | Total reward: -1.00 | Avg loss: 0.0000 | Loss std: 0.0000 | Max Q: 0.07 | Min Q: -0.05 | Mean Q: -0.01 | Epsilon: 0.966 | LOSE | Len: 2 | MEMORY_SIZE: 17SEED: 597
Episode 8/10000 | Total reward: 7.00 | Avg loss: 0.0000 | Loss std: 0.0000 | Max Q: 0.07 | Min Q: -0.05 | Mean Q: -0.01 | Epsilon: 0.961 | LOSE | Len: 4 | MEMORY_SIZE: 21SEED: 597
Episode 9/10000 | Total reward: 6.00 | Avg loss: 0.0000 | Loss std: 0.0000 | Max Q: 0.07 | Min Q: -0.05 | Mean Q: -0.01 | Epsilon: 0.956 | LOSE | Len: 5 | MEMORY_SIZE: 26SEED: 597
Episode 10/10000 | Total reward: 0.00 | Avg loss: 0.0000 | Loss std: 0.0000 | Max Q: 0.07 | Min Q: -0.05 | Mean Q: -0.01 | Epsilon: 0.951 | LOSE | Len: 1 | MEMORY_SIZE: 27SEED: 597
Episode 11/10000 | Total reward: -1.00 | Avg loss: 0.0000 | Loss std: 0.0000 | Max Q: 0.07 | Min Q: -0.05 | Mean Q: -0.01 | Epsilon: 0.946 | LOSE | Len: 2 | MEMORY_SIZE: 29SEED: 597
Episode 12/10000 | Total reward: 9.00 | Avg loss: 0.0000 | Loss std: 0.0000 | Max Q: 0.07 | Min Q: -0.05 | Mean Q: -0.01 | Epsilon: 0.942 | LOSE | Len: 2 | MEMORY_SIZE: 31SEED: 597
Episode 13/10000 | Total reward: 9.00 | Avg loss: 0.0000 | Loss std: 0.0000 | Max Q: 0.07 | Min Q: -0.05 | Mean Q: -0.01 | Epsilon: 0.937 | LOSE | Len: 2 | MEMORY_SIZE: 33SEED: 597
