Using MPS device for macOS
Using device: mps
Episode 1/3000 | Total reward: 0.00 | Avg loss: 0.0000 | Epsilon: 1.000 | LOSE | MEMORY_SIZE: 1 | SEED: 597
Episode 2/3000 | Total reward: -0.90 | Avg loss: 0.0000 | Epsilon: 1.000 | LOSE | MEMORY_SIZE: 3 | SEED: 597
Episode 3/3000 | Total reward: 18.20 | Avg loss: 0.0000 | Epsilon: 0.999 | LOSE | MEMORY_SIZE: 6 | SEED: 597
Episode 4/3000 | Total reward: -0.90 | Avg loss: 0.0000 | Epsilon: 0.999 | LOSE | MEMORY_SIZE: 8 | SEED: 597
Episode 5/3000 | Total reward: 17.30 | Avg loss: 0.0000 | Epsilon: 0.999 | LOSE | MEMORY_SIZE: 12 | SEED: 597
Episode 6/3000 | Total reward: 18.20 | Avg loss: 0.0000 | Epsilon: 0.998 | LOSE | MEMORY_SIZE: 15 | SEED: 597
Episode 7/3000 | Total reward: -0.90 | Avg loss: 0.0000 | Epsilon: 0.998 | LOSE | MEMORY_SIZE: 17 | SEED: 597
Episode 8/3000 | Total reward: 6.40 | Avg loss: 0.0000 | Epsilon: 0.998 | LOSE | MEMORY_SIZE: 22 | SEED: 597
Episode 9/3000 | Total reward: 7.30 | Avg loss: 0.0000 | Epsilon: 0.997 | LOSE | MEMORY_SIZE: 26 | SEED: 597
Episode 10/3000 | Total reward: 0.00 | Avg loss: 0.0000 | Epsilon: 0.997 | LOSE | MEMORY_SIZE: 27 | SEED: 597
Episode 11/3000 | Total reward: -0.90 | Avg loss: 0.0000 | Epsilon: 0.997 | LOSE | MEMORY_SIZE: 29 | SEED: 597
Episode 12/3000 | Total reward: 9.10 | Avg loss: 0.0000 | Epsilon: 0.996 | LOSE | MEMORY_SIZE: 31 | SEED: 597
Episode 13/3000 | Total reward: 9.10 | Avg loss: 0.0000 | Epsilon: 0.996 | LOSE | MEMORY_SIZE: 33 | SEED: 597
Episode 14/3000 | Total reward: 0.00 | Avg loss: 0.0000 | Epsilon: 0.996 | LOSE | MEMORY_SIZE: 34 | SEED: 597
Episode 15/3000 | Total reward: 9.10 | Avg loss: 0.0000 | Epsilon: 0.995 | LOSE | MEMORY_SIZE: 36 | SEED: 597
Episode 16/3000 | Total reward: 18.20 | Avg loss: 0.0000 | Epsilon: 0.995 | LOSE | MEMORY_SIZE: 39 | SEED: 597
Episode 17/3000 | Total reward: 0.00 | Avg loss: 0.0000 | Epsilon: 0.995 | LOSE | MEMORY_SIZE: 40 | SEED: 597
Episode 18/3000 | Total reward: 0.00 | Avg loss: 0.0000 | Epsilon: 0.994 | LOSE | MEMORY_SIZE: 41 | SEED: 597
Episode 19/3000 | Total reward: 9.10 | Avg loss: 0.0000 | Epsilon: 0.994 | LOSE | MEMORY_SIZE: 43 | SEED: 597
Episode 20/3000 | Total reward: 8.20 | Avg loss: 0.0000 | Epsilon: 0.994 | LOSE | MEMORY_SIZE: 46 | SEED: 597
Episode 21/3000 | Total reward: 17.30 | Avg loss: 0.0000 | Epsilon: 0.993 | LOSE | MEMORY_SIZE: 50 | SEED: 597
Episode 22/3000 | Total reward: 9.10 | Avg loss: 0.0000 | Epsilon: 0.993 | LOSE | MEMORY_SIZE: 52 | SEED: 597
Episode 23/3000 | Total reward: -0.90 | Avg loss: 0.0000 | Epsilon: 0.993 | LOSE | MEMORY_SIZE: 54 | SEED: 597
Episode 24/3000 | Total reward: 0.00 | Avg loss: 0.0000 | Epsilon: 0.992 | LOSE | MEMORY_SIZE: 55 | SEED: 597
Episode 25/3000 | Total reward: 0.00 | Avg loss: 0.0000 | Epsilon: 0.992 | LOSE | MEMORY_SIZE: 56 | SEED: 597
Episode 26/3000 | Total reward: 0.00 | Avg loss: 0.0000 | Epsilon: 0.992 | LOSE | MEMORY_SIZE: 57 | SEED: 597
Episode 27/3000 | Total reward: -0.90 | Avg loss: 0.0000 | Epsilon: 0.991 | LOSE | MEMORY_SIZE: 59 | SEED: 597
Episode 28/3000 | Total reward: 9.10 | Avg loss: 0.0000 | Epsilon: 0.991 | LOSE | MEMORY_SIZE: 61 | SEED: 597
Episode 29/3000 | Total reward: 0.00 | Avg loss: 0.0000 | Epsilon: 0.991 | LOSE | MEMORY_SIZE: 62 | SEED: 597
Episode 30/3000 | Total reward: 0.00 | Avg loss: 0.0000 | Epsilon: 0.990 | LOSE | MEMORY_SIZE: 63 | SEED: 597
Episode 31/3000 | Total reward: 17.30 | Avg loss: 26.2115 | Epsilon: 0.990 | LOSE | MEMORY_SIZE: 67 | SEED: 597
Episode 32/3000 | Total reward: 0.00 | Avg loss: 26.4531 | Epsilon: 0.990 | LOSE | MEMORY_SIZE: 68 | SEED: 597
Episode 33/3000 | Total reward: 0.00 | Avg loss: 25.1323 | Epsilon: 0.989 | LOSE | MEMORY_SIZE: 69 | SEED: 597
Episode 34/3000 | Total reward: 0.00 | Avg loss: 26.4296 | Epsilon: 0.989 | LOSE | MEMORY_SIZE: 70 | SEED: 597
Episode 35/3000 | Total reward: 7.30 | Avg loss: 25.6431 | Epsilon: 0.989 | LOSE | MEMORY_SIZE: 74 | SEED: 597
Episode 36/3000 | Total reward: 15.50 | Avg loss: 25.5310 | Epsilon: 0.988 | LOSE | MEMORY_SIZE: 80 | SEED: 597
Episode 37/3000 | Total reward: 0.00 | Avg loss: 24.4969 | Epsilon: 0.988 | LOSE | MEMORY_SIZE: 81 | SEED: 597
Episode 38/3000 | Total reward: 0.00 | Avg loss: 19.4190 | Epsilon: 0.988 | LOSE | MEMORY_SIZE: 82 | SEED: 597
Episode 39/3000 | Total reward: 0.00 | Avg loss: 21.8515 | Epsilon: 0.987 | LOSE | MEMORY_SIZE: 83 | SEED: 597
Episode 40/3000 | Total reward: 9.10 | Avg loss: 23.7378 | Epsilon: 0.987 | LOSE | MEMORY_SIZE: 85 | SEED: 597
Episode 41/3000 | Total reward: -0.90 | Avg loss: 22.9937 | Epsilon: 0.987 | LOSE | MEMORY_SIZE: 87 | SEED: 597
Episode 42/3000 | Total reward: 0.00 | Avg loss: 24.1178 | Epsilon: 0.986 | LOSE | MEMORY_SIZE: 88 | SEED: 597
Episode 43/3000 | Total reward: 8.20 | Avg loss: 23.2562 | Epsilon: 0.986 | LOSE | MEMORY_SIZE: 91 | SEED: 597
Episode 44/3000 | Total reward: 0.00 | Avg loss: 19.0030 | Epsilon: 0.986 | LOSE | MEMORY_SIZE: 92 | SEED: 597
Episode 45/3000 | Total reward: 0.00 | Avg loss: 22.7223 | Epsilon: 0.985 | LOSE | MEMORY_SIZE: 93 | SEED: 597
Episode 46/3000 | Total reward: 18.20 | Avg loss: 21.7220 | Epsilon: 0.985 | LOSE | MEMORY_SIZE: 96 | SEED: 597
Episode 47/3000 | Total reward: -0.90 | Avg loss: 25.4012 | Epsilon: 0.985 | LOSE | MEMORY_SIZE: 98 | SEED: 597
Episode 48/3000 | Total reward: 18.20 | Avg loss: 25.0453 | Epsilon: 0.984 | LOSE | MEMORY_SIZE: 101 | SEED: 597
Episode 49/3000 | Total reward: 9.10 | Avg loss: 17.7273 | Epsilon: 0.984 | LOSE | MEMORY_SIZE: 103 | SEED: 597
Episode 50/3000 | Total reward: 18.20 | Avg loss: 24.7707 | Epsilon: 0.984 | LOSE | MEMORY_SIZE: 106 | SEED: 597
Episode 51/3000 | Total reward: 9.10 | Avg loss: 23.6892 | Epsilon: 0.984 | LOSE | MEMORY_SIZE: 108 | SEED: 597
Episode 52/3000 | Total reward: 18.20 | Avg loss: 26.0302 | Epsilon: 0.983 | LOSE | MEMORY_SIZE: 111 | SEED: 597
Episode 53/3000 | Total reward: 6.40 | Avg loss: 22.5631 | Epsilon: 0.983 | LOSE | MEMORY_SIZE: 116 | SEED: 597
Episode 54/3000 | Total reward: 0.00 | Avg loss: 18.6643 | Epsilon: 0.983 | LOSE | MEMORY_SIZE: 117 | SEED: 597
Episode 55/3000 | Total reward: 0.00 | Avg loss: 20.4718 | Epsilon: 0.982 | LOSE | MEMORY_SIZE: 118 | SEED: 597
Episode 56/3000 | Total reward: 0.00 | Avg loss: 21.4733 | Epsilon: 0.982 | LOSE | MEMORY_SIZE: 119 | SEED: 597
Episode 57/3000 | Total reward: 0.00 | Avg loss: 19.0106 | Epsilon: 0.982 | LOSE | MEMORY_SIZE: 120 | SEED: 597
Episode 58/3000 | Total reward: -0.90 | Avg loss: 21.7114 | Epsilon: 0.981 | LOSE | MEMORY_SIZE: 122 | SEED: 597
Episode 59/3000 | Total reward: 17.30 | Avg loss: 20.7183 | Epsilon: 0.981 | LOSE | MEMORY_SIZE: 126 | SEED: 597
Episode 60/3000 | Total reward: 0.00 | Avg loss: 16.7569 | Epsilon: 0.981 | LOSE | MEMORY_SIZE: 127 | SEED: 597
Episode 61/3000 | Total reward: 9.10 | Avg loss: 18.7840 | Epsilon: 0.980 | LOSE | MEMORY_SIZE: 129 | SEED: 597
Episode 62/3000 | Total reward: 0.00 | Avg loss: 13.9478 | Epsilon: 0.980 | LOSE | MEMORY_SIZE: 130 | SEED: 597
Episode 63/3000 | Total reward: 0.00 | Avg loss: 16.5706 | Epsilon: 0.980 | LOSE | MEMORY_SIZE: 131 | SEED: 597
Episode 64/3000 | Total reward: 0.00 | Avg loss: 17.9570 | Epsilon: 0.979 | LOSE | MEMORY_SIZE: 132 | SEED: 597
Episode 65/3000 | Total reward: 8.20 | Avg loss: 14.6305 | Epsilon: 0.979 | LOSE | MEMORY_SIZE: 135 | SEED: 597
Episode 66/3000 | Total reward: 0.00 | Avg loss: 11.6770 | Epsilon: 0.979 | LOSE | MEMORY_SIZE: 136 | SEED: 597
Episode 67/3000 | Total reward: 0.00 | Avg loss: 9.1459 | Epsilon: 0.978 | LOSE | MEMORY_SIZE: 137 | SEED: 597
Episode 68/3000 | Total reward: 9.10 | Avg loss: 15.6281 | Epsilon: 0.978 | LOSE | MEMORY_SIZE: 139 | SEED: 597
Episode 69/3000 | Total reward: 9.10 | Avg loss: 12.3425 | Epsilon: 0.978 | LOSE | MEMORY_SIZE: 141 | SEED: 597
Episode 70/3000 | Total reward: -0.90 | Avg loss: 10.4302 | Epsilon: 0.977 | LOSE | MEMORY_SIZE: 143 | SEED: 597
Episode 71/3000 | Total reward: 0.00 | Avg loss: 7.8282 | Epsilon: 0.977 | LOSE | MEMORY_SIZE: 144 | SEED: 597
Episode 72/3000 | Total reward: 0.00 | Avg loss: 10.8273 | Epsilon: 0.977 | LOSE | MEMORY_SIZE: 145 | SEED: 597
Episode 73/3000 | Total reward: 0.00 | Avg loss: 10.5295 | Epsilon: 0.976 | LOSE | MEMORY_SIZE: 146 | SEED: 597
Episode 74/3000 | Total reward: 0.00 | Avg loss: 8.1937 | Epsilon: 0.976 | LOSE | MEMORY_SIZE: 147 | SEED: 597
Episode 75/3000 | Total reward: -0.90 | Avg loss: 7.2171 | Epsilon: 0.976 | LOSE | MEMORY_SIZE: 149 | SEED: 597
Episode 76/3000 | Total reward: 0.00 | Avg loss: 6.1576 | Epsilon: 0.975 | LOSE | MEMORY_SIZE: 150 | SEED: 597
Episode 77/3000 | Total reward: 5.50 | Avg loss: 6.1708 | Epsilon: 0.975 | LOSE | MEMORY_SIZE: 156 | SEED: 597
Episode 78/3000 | Total reward: 0.00 | Avg loss: 2.7104 | Epsilon: 0.975 | LOSE | MEMORY_SIZE: 157 | SEED: 597
Episode 79/3000 | Total reward: 9.10 | Avg loss: 4.5295 | Epsilon: 0.974 | LOSE | MEMORY_SIZE: 159 | SEED: 597
Episode 80/3000 | Total reward: 0.00 | Avg loss: 4.8650 | Epsilon: 0.974 | LOSE | MEMORY_SIZE: 160 | SEED: 597
Episode 81/3000 | Total reward: -0.90 | Avg loss: 4.5237 | Epsilon: 0.974 | LOSE | MEMORY_SIZE: 162 | SEED: 597
Episode 82/3000 | Total reward: 17.30 | Avg loss: 4.7883 | Epsilon: 0.973 | LOSE | MEMORY_SIZE: 166 | SEED: 597
Episode 83/3000 | Total reward: 17.30 | Avg loss: 4.3743 | Epsilon: 0.973 | LOSE | MEMORY_SIZE: 170 | SEED: 597
Episode 84/3000 | Total reward: 0.00 | Avg loss: 3.6688 | Epsilon: 0.973 | LOSE | MEMORY_SIZE: 171 | SEED: 597
Episode 85/3000 | Total reward: -0.90 | Avg loss: 3.4710 | Epsilon: 0.972 | LOSE | MEMORY_SIZE: 173 | SEED: 597
Episode 86/3000 | Total reward: 7.30 | Avg loss: 4.9527 | Epsilon: 0.972 | LOSE | MEMORY_SIZE: 177 | SEED: 597
Episode 87/3000 | Total reward: 17.30 | Avg loss: 5.0843 | Epsilon: 0.972 | LOSE | MEMORY_SIZE: 181 | SEED: 597
Episode 88/3000 | Total reward: 0.00 | Avg loss: 1.8751 | Epsilon: 0.971 | LOSE | MEMORY_SIZE: 182 | SEED: 597
Episode 89/3000 | Total reward: 9.10 | Avg loss: 6.0723 | Epsilon: 0.971 | LOSE | MEMORY_SIZE: 184 | SEED: 597
Episode 90/3000 | Total reward: 0.00 | Avg loss: 4.1625 | Epsilon: 0.971 | LOSE | MEMORY_SIZE: 185 | SEED: 597
Episode 91/3000 | Total reward: 0.00 | Avg loss: 5.5270 | Epsilon: 0.970 | LOSE | MEMORY_SIZE: 186 | SEED: 597
Episode 92/3000 | Total reward: 8.20 | Avg loss: 5.8970 | Epsilon: 0.970 | LOSE | MEMORY_SIZE: 189 | SEED: 597
Episode 93/3000 | Total reward: 0.00 | Avg loss: 4.7576 | Epsilon: 0.970 | LOSE | MEMORY_SIZE: 190 | SEED: 597
Episode 94/3000 | Total reward: 9.10 | Avg loss: 5.7278 | Epsilon: 0.969 | LOSE | MEMORY_SIZE: 192 | SEED: 597
Episode 95/3000 | Total reward: 0.00 | Avg loss: 4.5364 | Epsilon: 0.969 | LOSE | MEMORY_SIZE: 193 | SEED: 597
Episode 96/3000 | Total reward: 0.00 | Avg loss: 2.2670 | Epsilon: 0.969 | LOSE | MEMORY_SIZE: 194 | SEED: 597
Episode 97/3000 | Total reward: 0.00 | Avg loss: 3.9584 | Epsilon: 0.968 | LOSE | MEMORY_SIZE: 195 | SEED: 597
Episode 98/3000 | Total reward: 8.20 | Avg loss: 3.6013 | Epsilon: 0.968 | LOSE | MEMORY_SIZE: 198 | SEED: 597
Episode 99/3000 | Total reward: 0.00 | Avg loss: 7.3171 | Epsilon: 0.968 | LOSE | MEMORY_SIZE: 199 | SEED: 597
Episode 100/3000 | Total reward: 0.00 | Avg loss: 3.0829 | Epsilon: 0.967 | LOSE | MEMORY_SIZE: 200 | SEED: 597
--- Last 100 episodes ---
Avg reward: 4.70 | Avg loss: 9.8254 | Win rate: 0.0% | Lose rate: 100.0%
-------------------------
Model saved to models/pacman_dqn_v1.8_best_reward.pth
Saved model keys: ['model_state_dict', 'input_size', 'input_shape']
Best avg reward model saved at episode 100 with avg reward 4.70
Model saved to models/pacman_dqn_v1.8_best_winrate.pth
Saved model keys: ['model_state_dict', 'input_size', 'input_shape']
Best win rate model saved at episode 100 with win rate 0.00%
