Using MPS device for macOS
Using device: mps
Episode 1/3000 | Total reward: 0.00 | Avg loss: 0.0000 | Epsilon: 0.999 | LOSE | MEMORY_SIZE: 1 | SEED: 597
Episode 2/3000 | Total reward: -1.00 | Avg loss: 0.0000 | Epsilon: 0.998 | LOSE | MEMORY_SIZE: 3 | SEED: 597
Episode 3/3000 | Total reward: 18.00 | Avg loss: 0.0000 | Epsilon: 0.997 | LOSE | MEMORY_SIZE: 6 | SEED: 597
Episode 4/3000 | Total reward: -1.00 | Avg loss: 0.0000 | Epsilon: 0.996 | LOSE | MEMORY_SIZE: 8 | SEED: 597
Episode 5/3000 | Total reward: 17.00 | Avg loss: 0.0000 | Epsilon: 0.995 | LOSE | MEMORY_SIZE: 12 | SEED: 597
Episode 6/3000 | Total reward: 18.00 | Avg loss: 0.0000 | Epsilon: 0.994 | LOSE | MEMORY_SIZE: 15 | SEED: 597
Episode 7/3000 | Total reward: -1.00 | Avg loss: 0.0000 | Epsilon: 0.993 | LOSE | MEMORY_SIZE: 17 | SEED: 597
Episode 8/3000 | Total reward: 6.00 | Avg loss: 0.0000 | Epsilon: 0.992 | LOSE | MEMORY_SIZE: 22 | SEED: 597
Episode 9/3000 | Total reward: 7.00 | Avg loss: 0.0000 | Epsilon: 0.991 | LOSE | MEMORY_SIZE: 26 | SEED: 597
Episode 10/3000 | Total reward: 0.00 | Avg loss: 0.0000 | Epsilon: 0.990 | LOSE | MEMORY_SIZE: 27 | SEED: 597
Episode 11/3000 | Total reward: -1.00 | Avg loss: 0.0000 | Epsilon: 0.989 | LOSE | MEMORY_SIZE: 29 | SEED: 597
Episode 12/3000 | Total reward: 9.00 | Avg loss: 0.0000 | Epsilon: 0.988 | LOSE | MEMORY_SIZE: 31 | SEED: 597
Episode 13/3000 | Total reward: 9.00 | Avg loss: 0.0000 | Epsilon: 0.987 | LOSE | MEMORY_SIZE: 33 | SEED: 597
Episode 14/3000 | Total reward: 0.00 | Avg loss: 0.0000 | Epsilon: 0.986 | LOSE | MEMORY_SIZE: 34 | SEED: 597
Episode 15/3000 | Total reward: 9.00 | Avg loss: 0.0000 | Epsilon: 0.985 | LOSE | MEMORY_SIZE: 36 | SEED: 597
Episode 16/3000 | Total reward: 18.00 | Avg loss: 0.0000 | Epsilon: 0.984 | LOSE | MEMORY_SIZE: 39 | SEED: 597
Episode 17/3000 | Total reward: 0.00 | Avg loss: 0.0000 | Epsilon: 0.983 | LOSE | MEMORY_SIZE: 40 | SEED: 597
Episode 18/3000 | Total reward: 0.00 | Avg loss: 0.0000 | Epsilon: 0.982 | LOSE | MEMORY_SIZE: 41 | SEED: 597
Episode 19/3000 | Total reward: 9.00 | Avg loss: 0.0000 | Epsilon: 0.981 | LOSE | MEMORY_SIZE: 43 | SEED: 597
Episode 20/3000 | Total reward: 0.00 | Avg loss: 0.0000 | Epsilon: 0.980 | LOSE | MEMORY_SIZE: 44 | SEED: 597
Episode 21/3000 | Total reward: 24.00 | Avg loss: 0.0000 | Epsilon: 0.979 | LOSE | MEMORY_SIZE: 51 | SEED: 597
Episode 22/3000 | Total reward: 9.00 | Avg loss: 0.0000 | Epsilon: 0.978 | LOSE | MEMORY_SIZE: 53 | SEED: 597
Episode 23/3000 | Total reward: -1.00 | Avg loss: 0.0000 | Epsilon: 0.977 | LOSE | MEMORY_SIZE: 55 | SEED: 597
Episode 24/3000 | Total reward: 0.00 | Avg loss: 0.0000 | Epsilon: 0.976 | LOSE | MEMORY_SIZE: 56 | SEED: 597
Episode 25/3000 | Total reward: 0.00 | Avg loss: 0.0000 | Epsilon: 0.975 | LOSE | MEMORY_SIZE: 57 | SEED: 597
Episode 26/3000 | Total reward: 0.00 | Avg loss: 0.0000 | Epsilon: 0.974 | LOSE | MEMORY_SIZE: 58 | SEED: 597
Episode 27/3000 | Total reward: -1.00 | Avg loss: 0.0000 | Epsilon: 0.973 | LOSE | MEMORY_SIZE: 60 | SEED: 597
Episode 28/3000 | Total reward: 9.00 | Avg loss: 0.0000 | Epsilon: 0.972 | LOSE | MEMORY_SIZE: 62 | SEED: 597
