episode,reward,avg_loss,loss_std,reward_std,win,lose,length,max_q,min_q,mean_q,epsilon
1,0,0.0,0.0,0.0,0,1,1,0.06905655,-0.048809938,-0.0059328396,1.0
2,-1.0,0.0,0.0,0.0,0,1,2,0.06905655,-0.048809938,-0.005932839,0.999
3,18.0,0.0,0.0,0.0,0,1,3,0.06905655,-0.05169181,-0.006473892,0.998001
4,-1.0,0.0,0.0,0.0,0,1,2,0.06905655,-0.048809938,-0.005932839,0.997002999
5,17.0,0.0,0.0,0.0,0,1,4,0.06905655,-0.050393086,-0.00622985,0.996005996001
6,18.0,0.0,0.0,0.0,0,1,3,0.06905655,-0.050393086,-0.006170594,0.995009990004999
7,-1.0,0.0,0.0,0.0,0,1,2,0.06905655,-0.048809938,-0.005932839,0.994014980014994
8,6.0,0.0,0.0,0.0,0,1,5,0.06924798,-0.05169181,-0.0060797487,0.993020965034979
9,7.0,0.0,0.0,0.0,0,1,4,0.06924798,-0.05169181,-0.006102654,0.9920279440699441
10,0,0.0,0.0,0.0,0,1,1,0.06905655,-0.048809938,-0.0059328396,0.9910359161258742
11,-1.0,0.0,0.0,0.0,0,1,2,0.06905655,-0.048809938,-0.005932839,0.9900448802097482
12,9.0,0.0,0.0,0.0,0,1,2,0.06905655,-0.05169181,-0.006327761,0.9890548353295385
13,9.0,0.0,0.0,0.0,0,1,2,0.06905655,-0.050393086,-0.0061702277,0.988065780494209
14,0,0.0,0.0,0.0,0,1,1,0.06905655,-0.048809938,-0.0059328396,0.9870777147137147
15,9.0,0.0,0.0,0.0,0,1,2,0.06905655,-0.050393086,-0.0061702277,0.986090636999001
16,18.0,0.0,0.0,0.0,0,1,3,0.06905655,-0.05169181,-0.006473892,0.9851045463620021
17,0,0.0,0.0,0.0,0,1,1,0.06905655,-0.048809938,-0.0059328396,0.98411944181564
18,0,0.0,0.0,0.0,0,1,1,0.06905655,-0.048809938,-0.0059328396,0.9831353223738244
19,9.0,0.0,0.0,0.0,0,1,2,0.06905655,-0.050393086,-0.0061702277,0.9821521870514506
20,0,0.0,0.0,0.0,0,1,1,0.06905655,-0.048809938,-0.0059328396,0.9811700348643991
21,24.0,0.0,0.0,0.0,0,1,7,0.069451936,-0.05169181,-0.006377852,0.9801888648295347
22,9.0,0.0,0.0,0.0,0,1,2,0.06905655,-0.05169181,-0.006327761,0.9792086759647052
23,-1.0,0.0,0.0,0.0,0,1,2,0.06905655,-0.048809938,-0.005932839,0.9782294672887405
24,0,0.0,0.0,0.0,0,1,1,0.06905655,-0.048809938,-0.0059328396,0.9772512378214517
25,0,0.0,0.0,0.0,0,1,1,0.06905655,-0.048809938,-0.0059328396,0.9762739865836303
26,0,0.0,0.0,0.0,0,1,1,0.06905655,-0.048809938,-0.0059328396,0.9752977125970467
27,-1.0,0.0,0.0,0.0,0,1,2,0.06905655,-0.048809938,-0.005932839,0.9743224148844496
28,9.0,0.0,0.0,0.0,0,1,2,0.06905655,-0.050393086,-0.0061702277,0.9733480924695651
29,0,0.0,0.0,0.0,0,1,1,0.06905655,-0.048809938,-0.0059328396,0.9723747443770956
30,0,24.754655838012695,0.0,0.0,0,1,1,0.06905655,-0.048809938,-0.0059328396,0.9714023696327185
31,17.0,25.648038387298584,1.048483847807456,0.0,0,1,4,0.06707935,-0.044873226,-0.0010261503,0.9704309672630859
